Name,Smiles
299,O=C(OCc1ccccc1)N1CCC2CC1c1cc(N3Cc4ccccc4-n4nncc4C3)ccc12
300,CN(/N=C/c1cc(Br)cs1)c1cnc2ccccc2n1
301,CC(C)Sc1nnc(Nc2ccccc2)s1
302,CCCNC(=O)Nc1ccc2c(c1)nc(C)n2C
303,Cc1ccccc1C(=O)Nc1ccc(N2CCCCCC2)cc1
304,O=C(NCc1ccco1)c1nc2ccccc2s1
305,COc1ccc(CNC(=O)c2ccc3oc(C(C)C)nc3c2)cc1
306,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1
307,Clc1ccc(-c2nc(-c3ccncc3)no2)c(Cl)c1
308,O=C(NCc1ccccn1)C(=O)Nc1ccccc1
309,O=C(OCCCc1cc2ccccc2c(=O)o1)c1ccc(F)cc1
310,CC1CCN(c2ccc(NC(=O)c3cccnc3Cl)cc2)CC1
311,CCn1cc(C(=O)NC(=S)Nc2ccccc2[N+](=O)[O-])cn1
312,CCC(=O)N1CCc2nc(-c3ccccc3)sc2C1
313,COc1ccc(-c2nc(C[S+]([O-])CC(=O)NCCC3=CCCCC3)c(C)o2)cc1
314,COc1ccccc1CCNC(=O)c1c(C)nn(CC(C)C)c1Cl
315,CN(C)c1ccc(C(=O)/C=C/c2ccc(Br)cc2)cc1
316,CCCCc1nc2cc(C(=O)NCc3cc(C)n(C)n3)ccc2o1
317,N=C(Cc1cccs1)NOC(=O)COc1ccc(Br)cc1Cl
318,CCCOc1ccc(C(=O)Nc2ccc3c(c2)OCCO3)cc1
319,Cc1cc(C(=O)Nc2ccc3c(c2)OCCO3)co1
320,O=C(c1ccco1)N1CCN(C(=O)c2ccc(COc3ccc4c(c3)CCC4)o2)CC1
321,COc1ccccc1N1CCN(/N=C/c2cccc(Cl)c2)CC1
322,Cc1cccc(C(=N)NOC(=O)CCC2CCCCC2)c1
323,Cc1ccccc1NC(=O)CCc1c(C)nn(-c2ccc(N3CCCCC3)nn2)c1C
324,CCC(=O)N1CCN(c2nc3ccc(Br)cc3s2)CC1
325,Clc1ccc(/C=C/c2ncc[nH]2)c(Cl)c1
326,Nc1nc2ccccc2n1/N=C/c1ccc(-c2ccccc2)o1
327,COc1ccc(-n2nc([N+](=O)[O-])c(NCc3ccco3)[n+]2[O-])cc1
328,CCOCCn1c(COc2ccc(C)cc2)nc2ccccc21
329,COc1cccc(NC(=O)CSc2nnc(-c3ccc(C)cc3)o2)c1
330,O=C(NCc1ccco1)c1ccc(-c2ccccc2Cl)o1
331,c1ccc(-c2ncc(-c3cc[nH]n3)s2)cc1
332,CS(=O)(=O)Nc1ccc(C2=NN(S(C)(=O)=O)C(c3cccs3)C2)cc1
333,COc1ccc2[nH]cc(C(=O)CN3CCC(C)CC3)c2c1
334,Clc1ccc(SCc2nc3ccccc3[nH]2)cc1
335,O=[N+]([O-])c1ccc(N/N=C/c2cccnc2)cc1
336,CC(=O)c1cccc(NC(=S)NC(=O)c2cccc(C)c2)c1
337,CC(C)(C)/N=C/c1cc(-c2ccccc2)sc1O
338,COC(=O)C1CCN(C(=O)c2ccc3nc(-c4cccc(OC)c4)oc3c2)CC1
339,O=C(Cc1ccccc1)n1nc(-c2ccccc2)nc1NCc1ccco1
340,O=C(O)CN1C(=O)/C(=C\c2cccc(OCc3ccc(Cl)cc3Cl)c2)SC1=S
341,N#Cc1ccsc1NC(=O)CSc1nncs1
342,CCOC(=O)/C(C#N)=C/c1cc(C)n(-c2ccc(C)cc2)c1C
343,COc1cc(NC(=O)n2ncc3cc(Cl)ccc32)cc(OC)c1
344,COc1ccccc1C1CC(=O)NC(SCC(=O)Nc2ccccc2)=C1C#N
345,N#Cc1ccccc1OCC(=O)Nc1ccc2c(c1)OCO2
346,COc1cccc(-c2nnn(CC(C)=O)n2)c1
347,CC(CC(=O)N1CCc2ccccc21)c1ccccc1
348,CCCNC(=O)c1ccc(COc2ccc(C(C)(C)C)cc2)o1
349,Oc1ccc(-c2cccc(-c3ccc(O)cc3)n2)cc1
350,CCc1ccc(-c2cc3c(=O)n(CC(=O)NCCCN4CCN(C)CC4)ncn3n2)cc1
351,CCC(C)(C)NC(=O)/C=C/c1cnc2ccccc2n1
352,CC(=N)/C(C#N)=C(/O)CSc1nnc(NC(C)C)s1
353,O=C(Nc1ccccc1)c1ccn(C(=O)c2ccccc2Cl)n1
354,COc1ccccc1-c1noc(-c2ccccc2)n1
355,O=C(c1cc2cc(Br)ccc2o1)N1CCCC1
356,CCc1ccc2nc(NC(=O)CN3C(=O)NC4(CCCC4)C3=O)sc2c1
